"id","name","content_type_id","codename"
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add Token,7,add_token
26,Can change Token,7,change_token
27,Can delete Token,7,delete_token
28,Can view Token,7,view_token
29,Can add token,8,add_tokenproxy
30,Can change token,8,change_tokenproxy
31,Can delete token,8,delete_tokenproxy
32,Can view token,8,view_tokenproxy
33,Can add client,9,add_client
34,Can change client,9,change_client
35,Can delete client,9,delete_client
36,Can view client,9,view_client
37,Can add accountant report,10,add_accountantreport
38,Can change accountant report,10,change_accountantreport
39,Can delete accountant report,10,delete_accountantreport
40,Can view accountant report,10,view_accountantreport
41,Can add category,11,add_category
42,Can change category,11,change_category
43,Can delete category,11,delete_category
44,Can view category,11,view_category
45,Can add measure,12,add_measure
46,Can change measure,12,change_measure
47,Can delete measure,12,delete_measure
48,Can view measure,12,view_measure
49,Can add product,13,add_product
50,Can change product,13,change_product
51,Can delete product,13,delete_product
52,Can view product,13,view_product
53,Can add protocol,14,add_protocol
54,Can change protocol,14,change_protocol
55,Can delete protocol,14,delete_protocol
56,Can view protocol,14,view_protocol
57,Can add public defense,15,add_publicdefense
58,Can change public defense,15,change_publicdefense
59,Can delete public defense,15,delete_publicdefense
60,Can view public defense,15,view_publicdefense
61,Can add sector,16,add_sector
62,Can change sector,16,change_sector
63,Can delete sector,16,delete_sector
64,Can view sector,16,view_sector
65,Can add stock,17,add_stock
66,Can change stock,17,change_stock
67,Can delete stock,17,delete_stock
68,Can view stock,17,view_stock
69,Can add supplier,18,add_supplier
70,Can change supplier,18,change_supplier
71,Can delete supplier,18,delete_supplier
72,Can view supplier,18,view_supplier
73,Can add stock item,19,add_stockitem
74,Can change stock item,19,change_stockitem
75,Can delete stock item,19,delete_stockitem
76,Can view stock item,19,view_stockitem
77,Can add receiving report,20,add_receivingreport
78,Can change receiving report,20,change_receivingreport
79,Can delete receiving report,20,delete_receivingreport
80,Can view receiving report,20,view_receivingreport
81,Can add protocol item,21,add_protocolitem
82,Can change protocol item,21,change_protocolitem
83,Can delete protocol item,21,delete_protocolitem
84,Can view protocol item,21,view_protocolitem
85,Can add invoice,22,add_invoice
86,Can change invoice,22,change_invoice
87,Can delete invoice,22,delete_invoice
88,Can view invoice,22,view_invoice
89,Can add dispatch report,23,add_dispatchreport
90,Can change dispatch report,23,change_dispatchreport
91,Can delete dispatch report,23,delete_dispatchreport
92,Can view dispatch report,23,view_dispatchreport
93,Can add category balance,24,add_categorybalance
94,Can change category balance,24,change_categorybalance
95,Can delete category balance,24,delete_categorybalance
96,Can view category balance,24,view_categorybalance
97,Can add bidding exemption,25,add_biddingexemption
98,Can change bidding exemption,25,change_biddingexemption
99,Can delete bidding exemption,25,delete_biddingexemption
100,Can view bidding exemption,25,view_biddingexemption
101,Can add order,26,add_order
102,Can change order,26,change_order
103,Can delete order,26,delete_order
104,Can view order,26,view_order
105,Can add order item,27,add_orderitem
106,Can change order item,27,change_orderitem
107,Can delete order item,27,delete_orderitem
108,Can view order item,27,view_orderitem
109,Can add supplier order,28,add_supplierorder
110,Can change supplier order,28,change_supplierorder
111,Can delete supplier order,28,delete_supplierorder
112,Can view supplier order,28,view_supplierorder
113,Can add supplier order item,29,add_supplierorderitem
114,Can change supplier order item,29,change_supplierorderitem
115,Can delete supplier order item,29,delete_supplierorderitem
116,Can view supplier order item,29,view_supplierorderitem
117,Can add stock withdrawal,30,add_stockwithdrawal
118,Can change stock withdrawal,30,change_stockwithdrawal
119,Can delete stock withdrawal,30,delete_stockwithdrawal
120,Can view stock withdrawal,30,view_stockwithdrawal
121,Can add stock entry,31,add_stockentry
122,Can change stock entry,31,change_stockentry
123,Can delete stock entry,31,delete_stockentry
124,Can view stock entry,31,view_stockentry
125,Can add protocol withdrawal,32,add_protocolwithdrawal
126,Can change protocol withdrawal,32,change_protocolwithdrawal
127,Can delete protocol withdrawal,32,delete_protocolwithdrawal
128,Can view protocol withdrawal,32,view_protocolwithdrawal
129,Can add materials order,33,add_materialsorder
130,Can change materials order,33,change_materialsorder
131,Can delete materials order,33,delete_materialsorder
132,Can view materials order,33,view_materialsorder
