"id","app_label","model"
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,authtoken,token
8,authtoken,tokenproxy
9,user,client
10,stock,accountantreport
11,stock,category
12,stock,measure
13,stock,product
14,stock,protocol
15,stock,publicdefense
16,stock,sector
17,stock,stock
18,stock,supplier
19,stock,stockitem
20,stock,receivingreport
21,stock,protocolitem
22,stock,invoice
23,stock,dispatchreport
24,stock,categorybalance
25,stock,biddingexemption
26,order,order
27,order,orderitem
28,order,supplierorder
29,order,supplierorderitem
30,order,stockwithdrawal
31,order,stockentry
32,order,protocolwithdrawal
33,order,materialsorder
